kkID,datasetID,speciesID,id,taxonRank,kingdom,phylum,phyloGroup,phyloGroupSort,taxonClass,taxonOrder,taxonFamily,genus,species,scientificNameAuthorship,taxonomicRemarks_EN-US,taxonomicRemarks_ID,recognitionBasedOn,mainCommonName_EN,otherCommonName_EN,commonNameRemarks_EN,mainCommonName_ID,otherCommonName_ID,commonNameRemarks_ID,typeVoucher,verbatimTypeLocality,typeLocality,typeLocalityLatitude,typeLocalityLongitude,typeLocalityElevationInMeters,typeLocalityDepthInMeters,originalNameAsDescribed,synonymsWithAuthorYears,countryDistribution,biogeographicRegion,distributionStatus,nativeLocalDistribution_ID,introducedLocalDistribution_ID,distributionRemarks_EN-US,distributionRemarks_ID,keyMeasurements,keyCharacters_EN-US,keyCharacters_ID,characterRemarks_EN-US,characterRemarks_ID,habitatRemarks_EN-US,habitatRemarks_ID,additionalRemarks_EN-US,additionalRemarks_ID,iucnStatus,citesStatus,countryStatus,countryStatusReference,symbionts,symbiontRemarks_EN-US,symbiontRemarks_ID,referenceURIs,externalTaxonIdentifiers,externalURIs,associatedData,externalAssociatedDataURIs,contributorNameOrcid,datasetNames
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Sundasciurus,Sundasciurus natunensis,"(Thomas, 1895)",,,,Natuna Squirrel,,,,,,BMNH:Mamm:1894.9.28.40,Sirhassen I (= Serasan I) Natuna Is.,,,,,,Sciurus lowi natunensis,,,,,,,,,,,,,,,,,,NE,,,,,,,,mdd:1001588,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Sundasciurus,Sundasciurus robinsoni,"(Bonhote, 1903)",,,,Robinson's Squirrel,,,,,,BMNH:Mamm:1903.2.6.55,"Bukit Besar, Nawngchik, Patani, Peninsular Thailand, 2500 ft (= 762 m).",,,,,,Sciurus robinsoni,,,,,,,,,,,,,,,,,,NE,,,,,,,,mdd:1001591,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Sundasciurus,Sundasciurus tenuis,"(Horsfield, 1824)",,,,Slender Squirrel,,,,,,,Singapore.,,,,,,Sciurus tenuis,,,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1001595,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Ratufa,Ratufa affinis,"(Raffles, 1821)",,,,Pale Giant Squirrel,Cream-colored Giant Squirrel,,,,,,"""Singapore Island.""",,,,,,Sciurus affinis,,Cream-colored Giant Squirrel,,,,,,,,,,,,,,,,NT,,,,,,,,mdd:1001606,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Ratufa,Ratufa bicolor,"(Sparrman, 1778)",,,,Black Giant Squirrel,Black-and-white Giant Squirrel|Malayan Giant Squirrel,,,,,,"Anjer, West Java, Indonesia.",,,,,,Sciurus bicolor,,Black-and-white Giant Squirrel;Malayan Giant Squirrel,,,,,,,,,,,,,,,,NT,,,,,,,,mdd:1001607,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Aeromys,Aeromys tephromelas,"(Günther, 1873)",,,,Black Flying Squirrel,Large Black Flying Squirrel,,,,,,"""Wellesley, Penang I, Malaysia.""",,,,,,Pteromys tephromelas,,Large Black Flying Squirrel,,,,,,,,,,,,,,,,DD,,,,,,,,mdd:1001612,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Aeromys,Aeromys thomasi,"(Hose, 1900)",,,,Thomas's Flying Squirrel,,,,,,BMNH:Mamm:1899.12.9.32,"""Baram, Sarawak, Malaysia.""",,,,,,Petaurista Thomasi,,,,,,,,,,,,,,,,,,LC,,,,,,,,mdd:1001613,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Hylopetes,Hylopetes bartelsi,"(Chasen, 1939)",,,,Bartels's Flying Squirrel,,,,,,"RMNH.MAM.15539, RMNH.MAM.15680.a, RMNH.MAM.15680.b","""Tjilondong, Mt. Pangrango, West Java, Indonesia.""",,,,,,Petinomys bartelsi,,,,,,,,,,,,,,,,,,DD,,,,,,,,mdd:1001624,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Hylopetes,Hylopetes platyurus,"(Jentink, 1890)",,,,Jentink's Flying Squirrel,,,,,,"RMNH.MAM.13315.a, RMNH.MAM.13315.b","Deli, north-eastern Sumatra.",,,,,,Sciuropterus platyurus,,,,,,,,,,,,,,,,,,DD,,,,,,,,mdd:1001628,,,,,Lagomorpha_Rodentia
405,10,,,species,Animalia,Chordata,"Lagomorpha, Rodentia",10,Mammalia,Rodentia,Sciuridae,Hylopetes,Hylopetes sagitta,"(Linnaeus, 1766)",,,,Gray-cheeked Flying Squirrel,Arrow-tailed Flying Squirrel|Pink-cheeked Flying Squirrel,,,,,UUZM type #120,"Java, Indonesia.",,,,,,Sciurus Sagitta,,Arrow-tailed Flying Squirrel;Pink-cheeked Flying Squirrel,,,,,,,,,,,,,,,,DD,,,,,,,,mdd:1001629,,,,,Lagomorpha_Rodentia
