sciName,id,phylosort,mainCommonName_EN,otherCommonName_EN,subclass,infraclass,magnorder,superorder,taxonOrder,suborder,infraorder,parvorder,superfamily,taxonFamily,subfamily,tribe,genus,subgenus,specificEpithet,authoritySpeciesAuthor,authoritySpeciesYear,authorityParentheses,originalNameAsDescribed,authoritySpeciesCitation,authoritySpeciesLink,typeVoucher,typeKind,typeVoucherURIs,verbatimTypeLocality,typeLocalityLatitude,typeLocalityLongitude,nominalNames,taxonomyNotes,taxonomyNotesCitation,distributionNotes,distributionNotesCitation,subregionDistribution,countryDistribution,continentDistribution,biogeographicRealm,iucnStatus,extinct,domestic,flagged,CMW_sciName,diffSinceCMW,MSW3_matchtype,MSW3_sciName,diffSinceMSW3,...51,authority,scientificNameAuthorship,externalTaxonIdentifiers,taxonClass,species
Haeromys_pusillus,1003178,21,Sundaic Ranee Mouse,Lesser Ranee Mouse|Sundaic Haeromys,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Haeromys,NA,pusillus,O. Thomas,1893,1,Mus Margarettae pusillus,"Thomas, O. 1893-09-01. Descriptions of two new North-Bornean mammals. Annals and Magazine of Natural History (6)12(69):230-232.",https://www.biodiversitylibrary.org/page/15613620,BMNH (number not known),holotype,NA,"""Mount Kina Balu [Kinabalu, Sabah, Malaysia], 1000 feet [= 305 m].""",NA,NA,"pusillus (O. Thomas, 1893) [preoccupied]",NA,NA,NA,NA,NA,Lesser Ranee Mouse;Sundaic Haeromys,Asia,Indomalaya,VU,0,0,0,Haeromys_pusillus,0,sciname match,Haeromys_pusillus,0,NA,Thomas,"(Thomas, 1893)",mdd:1003178,Mammalia,Haeromys pusillus
Hydromys_chrysogaster,1003179,21,Common Water Rat,Australian Water Rat|Beaver Rat|Golden-bellied Water Rat|Rakali|Sooty Beaver Rat|White-bellied Beaver Rat,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Hydromys,NA,chrysogaster,É. Geoffroy Saint-Hilaire,1804,0,Hydromys chrysogaster,"Geoffroy Saint-Hilaire, É. 1804-12-21. Note sur un nouveau genre de mammifères, de l'ordre des rongeurs, sous le nom d'hydromys. Bulletin des Sciences, par la Société philomatique de Paris (1791-1805) 3(93):253-254.",https://www.biodiversitylibrary.org/page/5495446,MNHN-ZM-MO-1998-2055,holotype,http://coldb.mnhn.fr/catalognumber/mnhn/zm/mo-1998-2055,"""L'une des îles du canal d'Entrécasteaux"" (= one of the islands in D'Entrecasteaux passage).",NA,NA,"chrysogaster É. Geoffroy Saint-Hilaire, 1804|leucogaster É. Geoffroy Saint-Hilaire, 1804|apicalis (Kuhl, 1820)|fulvogaster Jourdan, 1837|fulvoventer F. Cuvier, 1837 [incorrect subsequent spelling]|flaviventer R. Owen, 1840|fuliginosus J. Gould, 1853|fulvolavatus J. Gould, 1853|lutrilla J. Gould, 1863|beccarii W. C. H. Peters, 1874|esox O. Thomas, 1906|caurinus O. Thomas, 1909|reginae O. Thomas & Dollman, 1909|melicertes O. Thomas, 1921|nauticus O. Thomas, 1921|illuteus O. Thomas, 1922|longmani O. Thomas, 1923|grootensis Troughton, 1935|lawnensis Troughton, 1935|moae Troughton, 1935|oriens Troughton, 1937",NA,NA,NA,NA,NA,Australian Water Rat;Beaver Rat;Golden-bellied Water Rat;Rakali;Sooty Beaver Rat;White-bellied Beaver Rat,Oceania,Australasia,LC,0,0,0,Hydromys_chrysogaster,0,sciname match,Hydromys_chrysogaster,0,NA,Geoffroy Saint-Hilaire,"Geoffroy Saint-Hilaire, 1804",mdd:1003179,Mammalia,Hydromys chrysogaster
Hydromys_hussoni,1003180,21,Husson's Water Rat,Husson's Hydromys|Western Hydromys|Western Water Rat,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Hydromys,NA,hussoni,Musser & Piik,1982,0,Hydromys hussoni,"Musser, G.G. and Piik, E. 1982. A new species of _Hydromys_ (Muridae) from western New Guinea (Irian Jaya). Zoologische Mededelingen 56(13):153-167.",http://www.repository.naturalis.nl/record/318530,"RMNH.MAM.29140.a, RMNH.MAM.29140.b",holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.29140.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.29140.b,"""Enaratoli (3°55'40""S, 136°22'6""E), 1765 m, on the east side of Paniai Lake [formerly Wissel Lakes],"" Papua Province, Indonesia.",-3.92778,136.3683,"hussoni Musser & Piik, 1982",NA,NA,NA,NA,NA,Husson's Hydromys;Western Hydromys;Western Water Rat,Oceania,Australasia,DD,0,0,0,Hydromys_hussoni,0,sciname match,Hydromys_hussoni,0,NA,Musser & Piik,"Musser & Piik, 1982",mdd:1003180,Mammalia,Hydromys hussoni
Hyomys_dammermani,1003183,21,Western White-eared Giant Rat,Western Hyomys,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Hyomys,NA,dammermani,G. Stein,1933,0,Hyomys meeki dammermani,"Stein, G. 1933-04-24. Weitere Mitteilungen zur Systematik papuanischer Säuger. Zeitschrift für Säugetierkunde 8(2):87-95.",https://www.biodiversitylibrary.org/page/45342798,ZMB 44408,holotype,NA,"Kunupi Mountains, Weyland Range, Papua Province, New Guinea.",NA,NA,"dammermani G. Stein, 1933",NA,NA,NA,NA,NA,Western Hyomys,Oceania,Australasia,DD,0,0,0,Hyomys_dammermani,0,sciname match,Hyomys_dammermani,0,NA,Stein,"Stein, 1933",mdd:1003183,Mammalia,Hyomys dammermani
Leptomys_arfakensis,1003189,21,Arfak Water Rat,Arfak Leptomys,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Leptomys,NA,arfakensis,"Musser, K. M. Helgen, & D. P. Lunde",2008,0,Leptomys arfakensis,"Musser, G.G., Helgen, K.M. and Lunde, D.P. 2008-09-10. Systematic review of New Guinea _Leptomys_ (Muridae, Murinae) with descriptions of two new species. American Museum Novitates 3624:1-60.",https://www.biodiversitylibrary.org/page/59813088,BMNH:Mamm:1929.5.27.23,holotype,NA,"""Arfak Mountains of the Vogelkop [= Bird's Head] Peninsula of western New Guinea (Papua Province, Indonesia) at an altitude of 1000 m.""",-1.0833,133.9667,"arfakensis Musser, K. M. Helgen, & D. P. Lunde, 2008",recently described,"Musser, G. G., Helgen, K. M., & Lunde, D. P. (2008). Systematic review of New Guinea Leptomys (Muridae, Murinae) with descriptions of two new species. American Museum Novitates, 2008(3624), 1-60.",NA,NA,NA,Arfak Leptomys,Oceania,Australasia,DD,0,0,0,Leptomys_arfakensis,0,unmatched,NA,1,NA,"Musser, Helgen, & Lunde","Musser, Helgen, & Lunde, 2008",mdd:1003189,Mammalia,Leptomys arfakensis
Leptomys_ernstmayri,1003191,21,Ernst Mayr's Water Rat,Ernst Mayr's Leptomys,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Leptomys,NA,ernstmayri,H. Rümmler,1932,0,Leptomys ernstmayri,"Rümmler, H. 1932. Ueber die Schwimmratten (Hydromyinae) zugleich beschreibung einer neuen Leptomys Thos., L. ernstmayri sp. n. aus Neu-Guinea. Aquarium Berlin 1932:131-135.",NA,ZMB 42400,holotype,NA,"Ogeramnang, Saruwaged Mountains, 1785 m, Huon Peninsula, Morobe Province, NE (Papua) New Guinea.",-6.433333333333334,147.36666666666667,"ernstmayri H. Rümmler, 1932",NA,NA,NA,NA,NA,Ernst Mayr's Leptomys,Oceania,Australasia,LC,0,0,0,Leptomys_ernstmayri,0,sciname match,Leptomys_ernstmayri,0,NA,Rümmler,"Rümmler, 1932",mdd:1003191,Mammalia,Leptomys ernstmayri
Lorentzimys_nouhuysii,1003194,21,Long-footed Tree Mouse,New Guinean Jumping Mouse,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Lorentzimys,NA,nouhuysii,Jentink,1911,0,Lorentzimys Nouhuysii,"Jentink, F.A. 1911. Mammals, collected by the Dutch New Guinea Expedition 1909/10. Nova Guinea 9(2):165-183.",https://www.biodiversitylibrary.org/page/40377798,"RMNH.MAM.29280.a, RMNH.MAM.29280.b",holotype,https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.29280.a | https://data.biodiversitydata.nl/naturalis/specimen/RMNH.MAM.29280.b,"""Bivak II (± 400 m.),"" Noord (= Lorentz River), Province of Papua, West-Papua (= Irian Jaya), New Guinea.",NA,NA,"nouhuysii Jentink, 1911|alticola Tate & Archbold, 1941|nouhuysi Honacki, Kinman, & Koeppl, 1982 [incorrect subsequent spelling]",NA,NA,NA,NA,NA,New Guinean Jumping Mouse,Oceania,Australasia,LC (as Lorentzimys nouhuysi),0,0,0,Lorentzimys_nouhuysii,0,sciname match,Lorentzimys_nouhuysi,0,NA,Jentink,"Jentink, 1911",mdd:1003194,Mammalia,Lorentzimys nouhuysii
Macruromys_elegans,1003195,21,Lesser Small-toothed Rat,Lesser Macruromys|Western Small-toothed Rat,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Macruromys,NA,elegans,G. Stein,1933,0,Macruromys elegans,"Stein, G. 1933-04-24. Weitere Mitteilungen zur Systematik papuanischer Säuger. Zeitschrift für Säugetierkunde 8(2):87-95.",https://www.biodiversitylibrary.org/page/45342798,ZMB 44393,holotype,NA,"Mount Kunupi, 1400–1800 m, Weyland Range, Province of Papua, West Papua (= Irian Jaya), New Guinea.",NA,NA,"elegans G. Stein, 1933",NA,NA,NA,NA,NA,Lesser Macruromys;Western Small-toothed Rat,Oceania,Australasia,DD,0,0,0,Macruromys_elegans,0,sciname match,Macruromys_elegans,0,NA,Stein,"Stein, 1933",mdd:1003195,Mammalia,Macruromys elegans
Macruromys_major,1003196,21,Greater Small-toothed Rat,Eastern Small-toothed Rat|Greater Macruromys,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Macruromys,NA,major,H. Rümmler,1935,0,Macruromys major,"Rümmler, H. 1935. Neue Muriden aus Neuguinea. Zeitschrift für Säugetierkunde 10:105-118.",https://www.biodiversitylibrary.org/page/45367521,BMNH (number not known),holotype,NA,"Kratke Mountains, 1220–1524 m, Buntibasa District, Eastern Highland Province, Papua New Guinea.",NA,NA,"major H. Rümmler, 1935",NA,NA,NA,NA,NA,Eastern Small-toothed Rat;Greater Macruromys,Oceania,Australasia,LC,0,0,0,Macruromys_major,0,sciname match,Macruromys_major,0,NA,Rümmler,"Rümmler, 1935",mdd:1003196,Mammalia,Macruromys major
Mallomys_gunung,1003198,21,Alpine Woolly Rat,Alpine Mallomys,Theria,Placentalia,Boreoeutheria,Euarchontoglires,Rodentia,Supramyomorpha,Myomorphi,NA,Muroidea,Muridae,Murinae,Hydromyini,Mallomys,NA,gunung,"Flannery, K. P. Aplin, & Groves in Flannery, K. P. Aplin, Groves, & M. Adams",1989,0,Mallomys gunung,"Flannery, T.F., Aplin, K.P., Groves, C.P. and Adams, M. 1989. Revision of the New Guinean genus _Mallomys_ (Muridae: Rodentia), with descriptions of two new species from subalpine habitats. Records of the Australian Museum 41(1):89-111.",https://doi.org/10.3853/j.0067-1975.41.1989.137,AMNH M-151346,holotype,http://portal.vertnet.org/o/amnh/mammals?id=urn-catalog-amnh-mammals-m-151346,"2 km east of Mount Wilhelmina, 3800 m, Province of Papua, West Papua (= Irian Jaya), New Guinea.",NA,NA,"gunung Flannery, K. P. Aplin, & Groves in Flannery, K. P. Aplin, Groves, & M. Adams, 1989",NA,NA,NA,NA,NA,Alpine Mallomys,Oceania,Australasia,EN,0,0,0,Mallomys_gunung,0,sciname match,Mallomys_gunung,0,NA,"Flannery, Aplin, & Groves in Flannery, Aplin, Groves, & Adams","Flannery, Aplin, & Groves in Flannery, Aplin, Groves, & Adams, 1989",mdd:1003198,Mammalia,Mallomys gunung
