nama_species;nama_indonesia
 Megaerops ecaudatus;Tungkol Biasa
 Megaerops kusnotoi;Tungkol Kusnoto
 Megaerops wetmorei;Tungkol Kalimantan
 Neopteryx frosti;Codot Gigi Kecil
 Penthetor lucasi;Pentae'n Coboe
 Pteropus alecto;Kalong Hitam
 Pteropus argentatus;Kalong Ambon
 Pteropus aruensis;Kalong Aru
 Pteropus caniceps;Kalong Morotai
 Pteropus chrysoproctus;Kalong Maluku
 Pteropus conspicillatus;Kalong Kacamata
 Pteropus griseus;Kalong Kelabu
 Pteropus hypomelanus;Kalong Kecil
 Pteropus keyensis;Kalong Kei
 Pteropus lombocensis;Kalong Lombok
 Pteropus macrotis ;Kalong Nissi
 Pteropus melanopogon;Kalong Awab
 Pteropus melanotus;Kalong Enggano
 Pteropus neohibernicus ;Kalong Bismark
 Pteropus ocularis ;Kalong Seram
 Pteropus personatus;Kalong Manu
 Pteropus pohlei;Kalong Manguai
 Pteropus pumilus;Kalong Talaud
 Pteropus scapulatus;Kalong Merah
 Pteropus speciosus;Kalong Laut
 Pteropus temmincki;Kalong Temmincki
 Pteropus vampyrus;Kalong Kapauk
 Rousettus amplexicaudatus;Nyap Biasa
 Rousettus celebensis;Nyap Sulawesi
 Rousettus leschenaulti;Nyap Besar
 Rousettus linduensis;Nyap Lindu
 Rousettus spinalatus;Nyap Prapat
 Rousettus tangkokoensis;Nyap Tangkoko
 Styloctenium wallacei;Codot Muka Garis
 Thoopterus nigrescens;Codot Walet
 Thoopterus suhaniahae;Codot Suhaniah
 Eonycteris major;Lalai Besar
 Eonycteris spelaea;Lalai Kembang
 Macroglossus minimus;Cecadu Pisang Kecil
 Macroglossus sobrinus;Cecadu Pisang Besar
 Syconycteris australis;Codot Bunga Australia
 Syconycteris carolinae;Codot Bunga Halmahera
 Syconycteris hobbit;Codot Bunga Gunung
 Nyctimene aello;Paniki Besar
 Nyctimene albiventer;Paniki Biasa
 Nyctimene cephalotes;Paniki Pallas
 Nyctimene certans;Paniki Telinga-bundar
 Nyctimene cyclotis;Paniki Pegunungan
 Nyctimene draconilla;Paniki Kecil
 Nyctimene keasti;Paniki Keasti
 Nyctimene minutus;Paniki Sulawesi
 Nyctimene wrightae;Paniki-wrightae Papua
 Paranyctimene raptor;Paniki Polos
 Paranyctimene tenax;Paniki Polos Besar
 Harpyionycteris celebensis;Codot Harpi
Rhinopoma microphyllum;Kalelawar ekor trubus besar
Emballonura alecto;Kelelawar Ekor-trubus Besar
Emballonura beccarii;Kelelawar Ekor-trubus Kecil
Emballonura furax;Kelelawar Ekor-trubus Irian
Emballonura monticola;Kelelawar Teng-teng
Emballonura raffrayana;Kelelawar Ekor-trubus Raffrayana
Mosia nigrescens;Kelelawar Ekor-trubus Hitam
Saccolaimus saccolaimus;Kubar Trubus
Taphozous achates;Kubar Coklat
Taphozous longimanus;Kubar Sayap-panjang
Taphozous melanopogon;Kubar Janggut-hitam
Taphozous theobaldi;Kubar Theobald
Nycteris javanica;Pedan Jawa
Nycteris tragata;Pedan Sunda
Megaderma spasma;Vampir Palsu
Rhinolophus acuminatus ;Prok-bruk Lonkos
Rhinolophus affinis;Prok-bruk Hutan
Rhinolophus arcuatus;Prok-bruk Ladam
Rhinolophus borneensis;Prok-bruk Kalimantan
Rhinolophus canuti;Prok-bruk Jawa
Rhinolophus celebensis;Prok-bruk Sulawesi
Rhinolophus creaghi;Prok-bruk Creaghi
Rhinolophus euryotis;Prok-bruk Maluku
Rhinolophus francisi;Prok-bruk Francis
Rhinolophus keyensis;Prok-bruk Kei
Rhinolophus megaphyllus;Prok-bruk Mega
Rhinolophus lepidus;Prok-bruk Berkilau
Rhinolophus luctus;Prok-bruk Besar
Rhinolophus macrotis;Prok-bruk Asia
Rhinolophus madurensis;Prok-bruk Madura
Rhinolophus nereis;Prok-bruk Anamba
Rhinolophus philippinensis;Prok-bruk Filipina
Rhinolophus pusillus;Prok-bruk Kecil
Rhinolophus sedulus;Prok-bruk Pusang-ntung
Rhinolophus simplex;Prok-bruk Lombok
Rhinolophus stheno;Prok-bruk Stheno
Rhinolophus trifoliatus;Prok-bruk Tiga Daun
Aselliscus tricuspidatus;Barong Triden
Coelops frithi;Barong Nir-ekor
Coelops robinsoni;Barong Nir-ekor Malaya
Hipposideros armiger;Barong-besar Hidung Bulat
Hipposideros ater;Barong Malaya
Hipposideros bicolor;Barong Dwi-warna
 Hipposideros boeadii;Barong Boeadi
 Hipposideros breviceps;Barong Pagai
 Hipposideros calcaratus;Barong Bertaji
 Hipposideros cervinus;Barong Gauld
 Hipposideros cineraceus;Barong Kecil
 Hipposideros corynophyllus;Barong Irian
 Hipposideros coxi;Barong Cox
 Hipposideros crumeniferus;Barong Timor
 Hipposideros diadema;Barong Besar
 Hipposideros dinops;Barong Galak
 Hipposideros doriae;Barong Doria
 Hipposideros dyacorum;Barong Dayak
 Hipposideros galeritus;Barong Cantor
 Hipposideros inexpectatus;Barong Bermahkota
 Hipposideros larvatus;Barong Horsfield
 Hipposideros macrobullatus;Barong Makro
 Hipposideros madurae;Barong Madura
 Hipposideros maggietaylorae;Barong Maggie
 Hipposideros muscinus;Barong Sungai
 Hipposideros orbiculus;Barong Orbiculus
 Hipposideros papua;Barong Geelvink
 Hipposideros pelingensis;Barong Peleng
 Hipposideros ridleyi;Barong Ridley
 Hipposideros sorenseni;Barong Pangandaran
 Hipposideros sumbae;Barong Sumba
 Hipposideros wollastoni;Barong Wollaston
 Kerivoula flora;Lenawai Hutan
 Kerivoula hardwickii;Lenawai Hardwick
 Kerivoula intermedia;Lenawai Sabah
 Kerivoula krauensis;Lenawai Krau
 Kerivoula lenis;Lenawai Lenis
 Kerivoula minuta;Lenawai Sabah
 Kerivoula muscina;Lenawai Irian
 Kerivoula myrella;Lenawai Bismarck
