nama_species;nama_indonesia
 Maxomys whiteheadi;Lesoq-lati Whiteheadi
 Melasmothrix naso;-
 Melomys aerosus;Tuni Pisang
 Melomys bannisteri;Tuni Kei
 Melomys caurinus;Tuni Talaud
 Melomys cooperae;Tuni Yamdena
 Melomys fellowsi;Tuni Merah
 Melomys fraterculus;Tuni Manusela
 Melomys fulgens;Tuni Seram
 Melomys gracilis;Tuni Ekor Panjang
 Melomys howi;Tuni Howi
 Melomys lanosus;Tuni Bersisik
 Melomys leucogaster;Tuni Putih
 Melomys lutilus;Tuni Kecil
 Melomys obiensis;Tuni Obi
 Melomys rufescens;Tuni Punggung Hitam
 Melomys talaudium;Tuni Talaud
 Mus caroli;Mencit Sawah
 Mus cervicolor;Mencit Kelabu
 Mus crociduroides;Mencit Sumatra
 Mus musculus;Mencit Rumah
 Mus terricolor;Mencit Deli
 Mus vulcani;Mencit Jawa
 Niviventer cremoriventer;Tikus Pohon Ekor Seragam
 Niviventer fulvescens;Tikus pohon Dada Coklat
 Niviventer lepturus;Tikus Pohon Jawa
 Niviventer rapit;Tikus Gunung Ekor Panjang
 Papagomys armandvillei;Betu Flores
 Papagomys theodorverhoeveni;Betu Kecil
 Paramelomys lorentzii;Tuni Lorentz's
 Paramelomys mollis;Tuni Sene
 Paramelomys platyops;Tuni Dataran-rendah
 Paramelomys rubex;Tuni Amuk
 Paruromys dominator;Soma Pangaladen
 Paruromys ursinus;Soma Soma
 Paucidentomys vermidax;Sapui Mamasa
 Paulamys naso;Tikus Flores
 Pithecheir melanurus;Pithecheir Monmon Jawa
 Pogonomelomys bruijni;Pogonolomis Salawati
 Pogonomelomys mayeri;Pogonolomis Irian
 Pogonomys loriae;Choiwoibea Halus
 Pogonomys macrourus;Choiwoibea Hitam
 Pogonomys sylvestris;Choiwoibea Kelabu
 Pseudohydromys occidentalis;Mencit Air Barat
 Rattus adustus;Tikus Enggano
 Rattus annandalei;Tikus Anandale
 Rattus argentiventer;Tikus Sawah
 Rattus bontanus;Tikus Bonthain
 Rattus elaphinus;Tikus Sula
 Rattus enganus;Tikus Enggano
 Rattus exulans;Tikus Polynesia
 Rattus dammermani;Tikus Dammerman
 Rattus facetus;Tikus Tanarwu-Tanaru
 Rattus feliceus;Tikus Seram
 Rattus hainaldi;Tikus Ruteng
 Rattus hoffmanni;Tikus Perut Kambola
 Rattus hoogerwerfi;Tikus Hoogerwerf
 Rattus jobiensis;Tikus Nambap-sop
 Rattus koopmani;Tikus Peleng
 Rattus korinchi;Tikus Kerinci
 Rattus leucopus;Tikus Kaki-putih
 Rattus lugens;Tikus Kepulauan Mentawai
 Rattus marmosurus;Tikus Malakput
 Rattus mollicomulus;Tikus Lompobatang
 Rattus morotaiensis;Tikus Morotai
 Rattus nitidus;Tikus Himalaya
 Rattus nikenii;Tikus Gag
 Rattus norvegicus;Tikus Riul
 Rattus pelurus;Tikus Peleng
 Rattus praetor;Tikus Senok
 Rattus salocco;Tikus Salokko
 Rattus simalurensis;Tikus Simeulue
 Rattus sordidus;Tikus Kebun Tebu
 Rattus steini;Tikus Steini
 Rattus tanezumi;Tikus Rumah Oriental
 Rattus timorensis;Tikus Timor
 Rattus tiomanicus;Tikus Belukar
 Rattus xanthurus;Tikus Torean
 Sommeromys macrorhinos;Parui Mamasa
 Nesoromys ceramicus;Tikus Gunung Seram
 Rattus niobe;Tikus Hutan Lumut
 Stenomys richardsoni;Tikus Gunung Salju
 Rattus verecundus;Tikus Ramping
 Sundamys infraluteus;Sundamis Gunung
 Sundamys maxi;Sundamis Cibuni
 Sundamys muelleri;Tikus Besar Muelleri
 Taeromys arcuatus;Mea Tangkoko
 Taeromys callitrichus;Mea Tengka
 Taeromys celebensis;Mea Turean
 Taeromys hamatus;Mea Kura
 Taeromys microbullatus;Mea Mikro
 Taeromys punicans;Mea Hutan
 Taeromys taerae;Mea Tondano
 Tateomys macrocercus;Tata Mamasa
 Tateomys rhinogradoides;Tata Tate
 Uromys anak;Keneta Dani
 Uromys boeadii;Keneta Biak
 Uromys caudimaculatus;Keneta Ekor Totol
 Uromys emmae;Keneta Emma
 Waiomys mamasae;Balaowai Mamasa
 Xenuromys barbatus;Tikus Raksasa Misai Panjang
 Crossomys moncktoni;-
 Hydromys chrysogaster;Gulit Air
 Hydromys habbema;Gulit Habbema
 Hydromys hussoni;Gulit Kecil
 Leptomys arfakensis;-
 Leptomys ernstmayri;-
 Leptomys elegans;-
 Leptomys signatus;-
 Microhydromys richardsoni;Mencit Air Gigi Beralur
 Mirzamys louiseae;-
 Parahydromys asper;Tikus Air Rambut Kasar
 Paraleptomys rufilatus;Tikus Air Pinggang Merah
 Paraleptomys wilhelmina;Tikus Air Rambut Pendek
 Pseudohydromys ellermani;-
 Pseudohydromys occidentalis;-
 Pseudohydromys patriciae;-
 Rhizomys sumatrensis;Tikus Bambu
 Cavia pocellus;Cavia Guinea
Hystrix brachyura;Landak raya
 Hystrix crassispinis;Landak Butun
 Hystrix javanica;Landak Jawa
 Hystrix sumatrae;Landak Sumatra
 Trichys fasciculata;Angkis Kelabi
 Lepus nigricollis;Kelinci Tengkuk-coklat
 Nesolagus netscheri;Kelinci Sumatra
 Oryctolagus cuniculus;Kelinci Marmut
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
